timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510122999053,354,conf #3,200,OK,Conf3 3-1,text,true,,366,0,1,3,354,0,0
1510122999053,354,conf #3,200,OK,Conf3 3-1,text,true,,366,0,1,3,354,0,0
1510122999468,220,conf #3,200,OK,Conf3 3-2,text,true,,366,0,2,6,220,0,0
1510122999468,220,conf #3,200,OK,Conf3 3-2,text,true,,366,0,2,6,220,0,0
1510122999928,215,conf #3,200,OK,Conf3 3-3,text,true,,366,0,3,9,215,0,0
1510122999928,215,conf #3,200,OK,Conf3 3-3,text,true,,366,0,3,9,215,0,0
1510123000383,219,conf #3,200,OK,Conf3 3-4,text,true,,366,0,4,12,219,0,0
1510123000383,219,conf #3,200,OK,Conf3 3-4,text,true,,366,0,4,12,219,0,0
1510123000512,218,conf #3,200,OK,Conf3 3-1,text,true,,366,0,4,12,218,0,0
1510123000512,218,conf #3,200,OK,Conf3 3-1,text,true,,366,0,4,12,218,0,0
1510123000835,219,conf #3,200,OK,Conf3 3-5,text,true,,366,0,5,15,219,0,0
1510123000835,219,conf #3,200,OK,Conf3 3-5,text,true,,366,0,5,15,219,0,0
1510123000968,220,conf #3,200,OK,Conf3 3-2,text,true,,366,0,5,15,220,0,0
1510123000968,220,conf #3,200,OK,Conf3 3-2,text,true,,366,0,5,15,220,0,0
1510123001292,226,conf #3,200,OK,Conf3 3-6,text,true,,366,0,6,18,226,0,0
1510123001292,226,conf #3,200,OK,Conf3 3-6,text,true,,366,0,6,18,226,0,0
1510123001429,225,conf #3,200,OK,Conf3 3-3,text,true,,366,0,6,18,225,0,0
1510123001429,225,conf #3,200,OK,Conf3 3-3,text,true,,366,0,6,18,225,0,0
1510123001745,227,conf #3,200,OK,Conf3 3-7,text,true,,366,0,7,21,227,0,0
1510123001745,227,conf #3,200,OK,Conf3 3-7,text,true,,366,0,7,21,227,0,0
1510123001883,231,conf #3,200,OK,Conf3 3-4,text,true,,366,0,7,21,231,0,0
1510123001883,231,conf #3,200,OK,Conf3 3-4,text,true,,366,0,7,21,231,0,0
1510123002012,239,conf #3,200,OK,Conf3 3-1,text,true,,366,0,8,24,239,0,0
1510123002012,239,conf #3,200,OK,Conf3 3-1,text,true,,366,0,8,24,239,0,0
1510123002201,236,conf #3,200,OK,Conf3 3-8,text,true,,366,0,8,24,236,0,0
1510123002201,236,conf #3,200,OK,Conf3 3-8,text,true,,366,0,8,24,236,0,0
1510123002336,238,conf #3,200,OK,Conf3 3-5,text,true,,366,0,8,24,238,0,0
1510123002336,238,conf #3,200,OK,Conf3 3-5,text,true,,366,0,8,24,238,0,0
1510123002496,239,conf #3,200,OK,Conf3 3-2,text,true,,366,0,9,27,239,0,0
1510123002496,239,conf #3,200,OK,Conf3 3-2,text,true,,366,0,9,27,239,0,0
1510123002655,244,conf #3,200,OK,Conf3 3-9,text,true,,366,0,9,27,244,0,0
1510123002655,244,conf #3,200,OK,Conf3 3-9,text,true,,366,0,9,27,244,0,0
1510123002791,245,conf #3,200,OK,Conf3 3-6,text,true,,366,0,9,27,245,0,0
1510123002791,245,conf #3,200,OK,Conf3 3-6,text,true,,366,0,9,27,245,0,0
1510123002929,253,conf #3,200,OK,Conf3 3-3,text,true,,366,0,10,30,253,0,0
1510123002929,253,conf #3,200,OK,Conf3 3-3,text,true,,366,0,10,30,253,0,0
1510123003092,250,conf #3,200,OK,Conf3 3-10,text,true,,366,0,10,30,250,0,0
1510123003092,250,conf #3,200,OK,Conf3 3-10,text,true,,366,0,10,30,250,0,0
1510123003245,254,conf #3,200,OK,Conf3 3-7,text,true,,366,0,10,30,254,0,0
1510123003245,254,conf #3,200,OK,Conf3 3-7,text,true,,366,0,10,30,254,0,0
1510123003383,259,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,259,0,0
1510123003383,259,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,259,0,0
1510123003512,261,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,261,0,0
1510123003512,261,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,261,0,0
1510123003544,274,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,273,0,0
1510123003544,274,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,273,0,0
1510123003701,267,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,267,0,0
1510123003701,267,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,267,0,0
1510123003836,270,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,270,0,0
1510123003836,270,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,270,0,0
1510123003968,274,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,273,0,0
1510123003968,274,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,273,0,0
1510123004156,278,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,278,0,0
1510123004156,278,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,278,0,0
1510123004292,282,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,282,0,0
1510123004292,282,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,282,0,0
1510123004430,286,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,286,0,0
1510123004430,286,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,286,0,0
1510123004593,292,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,292,0,0
1510123004593,292,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,292,0,0
1510123004746,293,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,293,0,0
1510123004746,293,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,293,0,0
1510123004884,297,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,297,0,0
1510123004884,297,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,297,0,0
1510123005013,299,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,299,0,0
1510123005013,299,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,299,0,0
1510123005044,302,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,302,0,0
1510123005044,302,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,302,0,0
1510123005202,308,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,308,0,0
1510123005202,308,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,308,0,0
1510123005336,313,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,313,0,0
1510123005336,313,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,313,0,0
1510123005468,317,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,317,0,0
1510123005468,317,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,317,0,0
1510123005656,322,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,322,0,0
1510123005656,322,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,322,0,0
1510123005792,326,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,326,0,0
1510123005792,326,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,326,0,0
1510123005929,332,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,331,0,0
1510123005929,332,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,331,0,0
1510123006094,332,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,332,0,0
1510123006094,332,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,332,0,0
1510123006245,340,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,340,0,0
1510123006245,340,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,340,0,0
1510123006385,346,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,346,0,0
1510123006385,346,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,346,0,0
1510123006513,358,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,358,0,0
1510123006513,358,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,358,0,0
1510123006545,355,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,355,0,0
1510123006545,355,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,355,0,0
1510123006702,360,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,360,0,0
1510123006702,360,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,360,0,0
1510123006836,366,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,366,0,0
1510123006836,366,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,366,0,0
1510123006968,371,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,371,0,0
1510123006968,371,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,371,0,0
1510123007156,377,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,377,0,0
1510123007156,377,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,377,0,0
1510123007292,382,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,382,0,0
1510123007292,382,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,382,0,0
1510123007429,388,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,388,0,0
1510123007429,388,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,388,0,0
1510123007593,391,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,391,0,0
1510123007593,391,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,391,0,0
1510123007745,399,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,399,0,0
1510123007745,399,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,399,0,0
1510123007885,406,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,406,0,0
1510123007885,406,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,406,0,0
1510123008013,410,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,410,0,0
1510123008013,410,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,410,0,0
1510123008044,415,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,415,0,0
1510123008044,415,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,415,0,0
1510123008202,425,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,425,0,0
1510123008202,425,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,425,0,0
1510123008337,431,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,431,0,0
1510123008337,431,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,431,0,0
1510123008468,446,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,446,0,0
1510123008468,446,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,446,0,0
1510123008656,446,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,446,0,0
1510123008656,446,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,446,0,0
1510123008792,452,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,452,0,0
1510123008792,452,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,452,0,0
1510123008928,460,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,460,0,0
1510123008928,460,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,460,0,0
1510123009092,462,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,462,0,0
1510123009092,462,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,462,0,0
1510123009245,466,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,466,0,0
1510123009245,466,conf #3,200,OK,Conf3 3-7,text,true,,366,0,11,33,466,0,0
1510123009383,476,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,476,0,0
1510123009383,476,conf #3,200,OK,Conf3 3-4,text,true,,366,0,11,33,476,0,0
1510123009512,472,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,472,0,0
1510123009512,472,conf #3,200,OK,Conf3 3-1,text,true,,366,0,11,33,472,0,0
1510123009543,479,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,479,0,0
1510123009543,479,conf #3,200,OK,Conf3 3-11,text,true,,366,0,11,33,479,0,0
1510123009702,495,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,495,0,0
1510123009702,495,conf #3,200,OK,Conf3 3-8,text,true,,366,0,11,33,495,0,0
1510123009836,498,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,498,0,0
1510123009836,498,conf #3,200,OK,Conf3 3-5,text,true,,366,0,11,33,498,0,0
1510123009968,497,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,497,0,0
1510123009968,497,conf #3,200,OK,Conf3 3-2,text,true,,366,0,11,33,497,0,0
1510123010156,505,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,505,0,0
1510123010156,505,conf #3,200,OK,Conf3 3-9,text,true,,366,0,11,33,505,0,0
1510123010292,512,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,512,0,0
1510123010292,512,conf #3,200,OK,Conf3 3-6,text,true,,366,0,11,33,512,0,0
1510123010428,517,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,517,0,0
1510123010428,517,conf #3,200,OK,Conf3 3-3,text,true,,366,0,11,33,517,0,0
1510123010592,508,conf #3,200,OK,Conf3 3-10,text,true,,366,0,11,33,508,0,0
