timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510123218191,312,conf #3,200,OK,Thread Group 3-3,text,true,,366,0,18,25,312,0,0
1510123218185,314,conf #3,200,OK,Thread Group 3-2,text,true,,366,0,18,25,313,0,0
1510123218257,242,conf #3,200,OK,Thread Group 3-6,text,true,,366,0,18,25,240,0,0
1510123218315,229,conf #3,200,OK,Thread Group 3-9,text,true,,366,0,18,25,229,0,0
1510123218285,261,conf #3,200,OK,Thread Group 3-8,text,true,,366,0,18,25,261,0,0
1510123218276,270,conf #3,200,OK,Thread Group 3-7,text,true,,366,0,18,25,270,0,0
1510123218184,363,conf #3,200,OK,Thread Group 3-1,text,true,,366,0,18,25,363,0,0
1510123218223,324,conf #3,200,OK,Thread Group 3-5,text,true,,366,0,18,25,324,0,0
1510123218208,340,conf #3,200,OK,Thread Group 3-4,text,true,,366,0,18,25,339,0,0
1510123218361,238,conf #3,200,OK,Thread Group 3-12,text,true,,366,0,23,31,238,0,0
1510123218349,250,conf #3,200,OK,Thread Group 3-10,text,true,,366,0,23,31,250,0,0
1510123218347,250,conf #3,200,OK,Thread Group 3-11,text,true,,366,0,23,31,250,0,0
1510123218392,235,conf #3,200,OK,Thread Group 3-13,text,true,,366,0,24,32,235,0,0
1510123218408,229,conf #3,200,OK,Thread Group 3-14,text,true,,366,0,25,33,229,0,0
1510123218424,232,conf #3,200,OK,Thread Group 3-15,text,true,,366,0,26,34,231,0,0
1510123218446,247,conf #3,200,OK,Thread Group 3-16,text,true,,366,0,28,36,247,0,0
1510123218462,237,conf #3,200,OK,Thread Group 3-17,text,true,,366,0,28,36,237,0,0
1510123218493,231,conf #3,200,OK,Thread Group 3-18,text,true,,366,0,30,38,231,0,0
1510123218559,290,conf #3,200,OK,Thread Group 3-21,text,true,,366,0,36,45,290,0,0
1510123218585,269,conf #3,200,OK,Thread Group 3-23,text,true,,366,0,36,45,269,0,0
1510123218582,273,conf #3,200,OK,Thread Group 3-20,text,true,,366,0,36,45,273,0,0
1510123218580,278,conf #3,200,OK,Thread Group 3-19,text,true,,366,0,36,45,278,0,0
1510123218603,266,conf #3,200,OK,Thread Group 3-24,text,true,,366,0,37,46,266,0,0
1510123218639,244,conf #3,200,OK,Thread Group 3-25,text,true,,366,0,38,47,244,0,0
1510123218646,243,conf #3,200,OK,Thread Group 3-26,text,true,,366,0,38,47,243,0,0
1510123218662,239,conf #3,200,OK,Thread Group 3-27,text,true,,366,0,38,47,238,0,0
1510123218681,248,conf #3,200,OK,Thread Group 3-28,text,true,,366,0,39,48,248,0,0
1510123218702,243,conf #3,200,OK,Thread Group 3-29,text,true,,366,0,40,49,243,0,0
1510123218591,364,conf #3,200,OK,Thread Group 3-22,text,true,,366,0,41,50,364,0,0
1510123218721,238,conf #3,200,OK,Thread Group 3-30,text,true,,366,0,41,50,238,0,0
1510123218743,242,conf #3,200,OK,Thread Group 3-31,text,true,,366,0,41,51,242,0,0
1510123218781,246,conf #3,200,OK,Thread Group 3-33,text,true,,366,0,44,54,246,0,0
1510123218796,242,conf #3,200,OK,Thread Group 3-32,text,true,,366,0,44,54,241,0,0
1510123218805,241,conf #3,200,OK,Thread Group 3-34,text,true,,366,0,44,54,241,0,0
1510123218822,254,conf #3,200,OK,Thread Group 3-35,text,true,,366,0,44,54,254,0,0
1510123218863,255,conf #3,200,OK,Thread Group 3-37,text,true,,366,0,46,56,255,0,0
1510123218846,273,conf #3,200,OK,Thread Group 3-36,text,true,,366,0,46,56,272,0,0
1510123218882,261,conf #3,200,OK,Thread Group 3-38,text,true,,366,0,47,57,261,0,0
